Portuguese Comment,Translated Comment,Sentiment Score
Scorpions! Europe!! Parece o festival do azeite...,Scorpions!Europe !!It looks like the olive oil festival ...,0.0
"Hybrid Theory e Europe, sério, eu não teria escolhido melhor dia pra aproveitar meu PRIMEIRO RIR 🥹🤘🏻","Hybrid Theory and Europe, really, I would not have chosen better day to enjoy my first laugh 🥹🤘🏻",0.33
"Dia 23 eu vou gritar tanto, mas tanto omg 🥲","Day 23 I will scream so much, but so much omg 🥲",0.2
"Yes Carolina de Deus, Diego Miranda no mesmo dia, altamente 🔥👏👏👏","Yes Carolina de Deus, Diego Miranda on the same day, highly 🔥👏👏👏",0.08
Luisa Sonza no palco Gap eh loucura,Luisa Sonza on stage gap eh madness,0.0
Where is Camila Cabello?,Where is Camila Cabello?,0.0
Brutal!!! 🔥❤️,Brutal!!!🔥❤️,0.0
Pedro Sampaio e Luísa Sonza no palco galp ??? Deviam de estar no palco mundo !!,Pedro Sampaio and Luísa Sonza on the Galp stage ???They should be on stage world !!,0.0
"Luisa merecia palco mundo mas ok, vou ver na mesmaaaa","Luisa deserved stage world but ok, I'll see in the same",0.25
Palco galp melhor que o palco principal,Galp stage better than the main stage,0.3333333333333333
"Dia 15 de Junho é o dia do verdadeiro ROCK e só vejo gente que tanto reclama do cartaz a dar primazia a outros dias que de rock nada são. A única conclusão a que se pode chegar é que as pessoas gostam apenas de falar mal, criticar e depois estão lá todas como de costume. PARABÉNS @rockinriolisboa pelo cartaz e por aturarem devaneios de gente que nunca está satisfeita.","On June 15th is the day of true rock and I only see people who complain so much about the poster to give primacy to other days that rock nothing is.The only conclusion you can arrive is that people just like to speak badly, criticize and then all are as usual.Congratulations @rockinriolisboa by the poster and for tuition daydreams of people who are never satisfied.",-0.07499999999999997
"Quem foi a alminha que se lembrou de pôr os @officialeuropetheband num palco secundário?! Hello?! Lá estarei, mas por favor...","Who was the alminha who remembered to put the @officialeuropetheband on a secondary stage?!Hello?!I'll be there, but please ...",-0.3
"Excelente o dia 23 @ccaataariinaa, mas posso esperar 😁😁","Excellent day 23 @ccaataariinaa, but I can wait 😁😁",1.0
E @fboband2021 ???,And @fboband2021 ???,0.0
ESTA EDIÇÃO ESTÁ INCRÍVEL @rockinriolisboa 🎸❤️‍🔥,This edition is amazing @rockinriolisboa 🎸❤️‍🔥,0.6000000000000001
Europe 😮‍💨🥹 queria,Europe 😮‍💨🥹 wanted,0.0
Uma banda com o tamanho dos europe recambiada para um palco secundário enfim 🤷‍♂️🤷‍♂️,A band with the size of the European europe for a secondary stage finally 🤷‍♂️🤷‍♂️,-0.09999999999999999
Evanescence??,Evanescence??,0.0
Palco secundário está melhor que o palco mundo😂,Secondary stage is better than the World stage,0.1
Ai já nem tenho palavras,I don't even have words,0.0
Europe! 😀👏👏👏👏👏👏,Europe!😀👏👏👏👏👏👏👏,0.0
@_mariana.reis_ @inesrrrsantos vai ser do crlhhhhhhh🔥🔥🔥🔥,@_mariana.reis_ @inesrsrsrsantos will be from CRLHHHHHH🔥🔥🔥🔥,0.0
"Queria mesmo saber os horários, pra saber se vou precisar me dividir entre os palcos kkkkk","I really wanted to know the schedules, to know if I need to share me between the kkkk",0.2
"Europe não estarem no palco principal é escandaloso. Vocês não têm noção dos festivais onde eles tocam anualmente por este mundo fora... No entanto espero que ao menos filmem o concerto, eles merecem.  #queremosEuropenopalcomundo","Europe is not on the main stage is scandalous.You have no idea of the festivals where they play annually around this world ... However, I hope at least you film the concert, they deserve it.#We We've",-0.06666666666666667
❤🔥,❤🔥,0.0
Meu sonho é trabalhar convosco 🖤❤️,My dream is to work with you 🖤❤️,0.0
Dia 23 tá muitooooo bommm o line up,Day 23 is veryoooo good the line up,0.7
"Europe , Luísa Sonza, e Pedro Sampaio. Os melhores 🔥🔥🔥","Europe, Luísa Sonza, and Pedro Sampaio.The best 🔥🔥🔥",1.0
🔥🔥🔥,🔥🔥🔥,0.0
❤,❤,0.0
Que cartaz de merdaaaa,What a shit poster,-0.2
@pipamveloso,@pipamveloso,0.0
Libera o line up do Brasil completo. Que saco 🤬🤬🤬🤬🤬,Releases the full line up of Brazil.What a bag 🤬🤬🤬🤬🤬,0.35
Luisa Sonza jogará ao mesmo tempo que Aitana? Quero ouvi-los cantar a música amigo de semana junto com Danna 🙏🏻 rainhas🔥,Will Luisa Sonza play at the same time as Aitana?I want to hear them sing the week friend of the week with Danna 🙏🏻 Queens🔥,0.0
"15 será épico! E além das lendas (wow, EUROPE!!!!😍) ainda vou assistir no palco GALP, fenomenal, minha banda favorita, a House Band da @schoolofrockfloripa com @bia.pio no vocal, YOU ROCK ! 🤘🏼🎸😍","15 will be epic!And besides the legends (Wow, Europe !!!! 😍) I will still watch on the Galp stage, phenomenal, my favorite band, House Band da @schoolofrockfloripa with @bia.pio on vocal, you rock!🤘🏼🎸😍",0.4147135416666667
Europe não merecia palco mundo?,Didn't Europe deserve a world stage?,0.0
@erica_figas,@Erica_Figas,0.0
Europe no Galp stage é sacanagem,Europe in Galp Stage is slutty,0.0
👏👏👏,👏👏👏,0.0
Perfeição demais,Too,0.0
😍😍😍,😍😍😍,0.0
E as horas de cada show vão dizer por aqui ?,And the hours of each show will say here?,0.0
quais sao os horarios?,What are the time?,0.0
😍😍❤,😍😍❤,0.0
Esta melhor este cartaz que o palco mundo 😂,This poster is better than the world stage 😂,0.5
Opa! Europe! Ai sim!,Oops!Europe!Oh yes!,0.0
James! 👌👏👏👏,James!👌👏👏👏,0.0
James?,James?,0.0
Ai nãooooooooo.. Como não tenho amigos vou sozinha mesmo ver a @luisasonza e o @pedrosampaio .,Oh noooooooooo .. as I have no friends I go alone to see @luisasonza and @pedrosampaio.,0.0
crazy mm mas onde é que ta o bruno mars? @brunomars,Crazy mm But where is Bruno Mars?@Bruno Mars,-0.6
e a line do Brasil nada,And the line of Brazil nothing,0.0
"Estou muito feliz, vou ver os europe ❤️","I'm very happy, I'll see the Europe ❤️",1.0
E o rock in rio nada né?,And rock in rio nothing right?,0.2857142857142857
🫶🔥,🫶🔥,0.0
@ruimserafim ❤️😍,@ruimserafim ❤️😍,0.0
Luisa ❤️‍🔥❤️‍🔥❤️‍🔥,Luisa ❤️‍🔥❤️‍🔥❤️‍🔥,0.0
👏👏👏👏🙌🙌🙌❤️❤️,👏👏👏👏🙌🙌🙌❤️❤️,0.0
E A CAROLINA DESLANDES !!!!!!!!??,And Carolina Deslandes !!!!!!!! ??,0.0
Wtf,WTF,-0.5
Camila cabello estava dia 23???,Camila Cabello was on the 23rd ???,0.0
Luiza 💩,Luiza 💩,0.0
@mariaclaro27,@mariaclaro27,0.0
Tenho 23 anos e tenho sorte em dizer que VOU VER OS EUROPE 🔥,I'm 23 years old and I'm lucky to say that I will see the Europe,0.21666666666666667
🔥,🔥,0.0
Europe!!!!🔥🤘🏼🤘🏼😍😍😍😍😍😍😍,Europe !!!!,0.0
Que tudo 👏👏🔥🔥,That everything 👏👏🔥🔥,0.0
Nem Rock nem Rio. 👎🏻 Festival cada vez mais decadente e esquisito.,Neither rock nor Rio. 👎🏻 festival increasingly decaying and weird.,-0.5
🤟🏻🤟🏻🔥🔥,🤟🏻🤟🏻🔥🔥,0.0
JAKE BUGG,JAKE BUGG,0.0
Porra que granda merda de cartaz. Até as festas do Crato ou da feira da agricultura de santarém consegue um cartaz melhor que isto. Rock? Onde? Fogo que tristeza. Ainda estão piores que o Sudoeste. Assim não se safam nem se pusessem os bilhetes a 10 paus.,Fuck that GRANDA shit poster.Even the parties of Crato or the Santarém Agriculture Fair gets a poster better than this.Rock?Where?Fire what sadness.They are still worse than the southwest.So they do not get away or if they put the tickets to 10 sticks.,0.039999999999999966
👏,👏,0.0
Aitana ?????,AITANA ?????,0.0
Tá compensando bem mais ir pra Lisboa,You're paying off much more to go to Lisbon,0.5
zara larsson por favor 😭😭😭,Zara Larsson please 😭😭😭,0.0
Foi só o início. 👀 Vai ser incrível! ⚡️,It was just the beginning.👀 It will be amazing!⚡️,0.0
No Brasil é top… aquí é amostras!,In Brazil it is top… here is samples!,0.0
🤮🤮🤮🤮🤮🤮🤮,🤮🤮🤮🤮🤮🤮🤮,0.0
Dia 15 vai ser foda demais!!!,Day 15 will be too fucking !!!,-1.0
Europe para o palco galp?,Europe for the Galp Stage?,0.0
Dia 22 está mesmo pobre,Day 22 is really poor,-0.4
Travis scott??,Travis Scott ??,0.0
Podiam ter trazido o Travis também a Portugal,They could have brought Travis also to Portugal,0.0
Que merda de cartas façam como o rock in rio brasileiro crlh isto é uma pouca vergonha eles travis scott nos luisa sonza fds assr isto ta cada vez pior so para velhos em portugal,What shit of cards do like rock in rio brazilian crcr this is a little shame they travis scott in the luisa sonza fds asser this is getting worse and worse only for old men in Portugal,-0.18125
O cartaz em Portugal comparado com o do Brasil é só uma piada,The poster in Portugal compared to Brazil is just a joke,0.0
TRAGAM O TRAVIS SCOTT!!!,Bring Travis Scott !!!,0.0
"Europe merece palco mundo! Olha de quem estamos falando, amigos","Europe deserves stage world!Look at who we're talking, friends",0.0
Só EUROPE se salvou nesses novos nomes para o ROCK in rio.,Only Europe was saved in these new names for Rock in Rio.,0.06818181818181818
Queria tanto ver Europe e agora já comprei pra 16 e 22 💔,I wanted to see Europe so much and now I bought it to 16 and 22 💔,0.2
Alguém para ir comigo ? 😩,Someone to go with me?😩,0.0
Essa Hybrid Theory é a banda cover de @linkinpark ??,Is this hybrid theory the band cover of @Linkinpark ??,0.0
Não vai ter Veveta nessa edição??,Won't there be veveta in this edition ??,0.0
E o neyo?????,And the grandson ?????,0.0
Europe e Luisa deviam estar no palco principal,Europe and Luisa should be on the main stage,0.16666666666666666
Festival que não tem rock e não é no rio 😂😂😂😂😂 que piada 😂😂😂😂,Festival that has no rock and is not in Rio 😂😂😂😂😂 What a joke 😂😂😂😂,0.0
"Cada vez pior este festival, acho que deveriam mudar o nome para Pop In Rio, seria mais adequado","Increasingly this festival, I think they should change the name to pop in rio, it would be more appropriate",0.5
Ahhh por favor só queria ver Nathan Breves,Ahhh please just wanted to see Nathan brief,0.0
