Portuguese Comment,Translated Comment,Sentiment Score
Nada mal este ano...mas esse dia 15 não lembra ao cara***!,Not bad this year ... but this day 15 doesn't remember the guy ***!,0.4374999999999999
Cartaz muito fixe este ano 🔥,Poster very cool this year 🔥,0.45499999999999996
Muito bom já tenho passe geral. Só fatam as miúdas que o ano passado faltaram .... e este ano já estão 'demasiado' famosas as Last Dinner Party,Very good I already have a general pass.They only do the girls that last year were missing .... and this year are already 'too famous' Last Dinner Party,0.18
Meu deuz,My God,0.0
"Continuo sem entender a razão desse senhor J estar neste tipo de festival, mas ok.","I still don't understand the reason for this gentleman to be in this type of festival, but ok.",0.5
Bora🙌,Bora🙌,0.0
Força Fontaine's DC e Irlanda! 🇮🇪🤟🇵🇹,Force Fontaine's DC and Ireland!🇮🇪🤟🇵🇹,0.0
Dia 16 🥰,Day 16 🥰,0.0
Next year Aurora,Next Year Aurora,0.0
🛸🌀,🛸🌀,0.0
🥹,🥹,0.0
🔥,🔥,0.0
Girl in red é cabeça de cartaz no dia de ildes???? Wtf 😂,Girl in Red is the head of poster on Ildes Day ????Wtf 😂,-0.25
🔥🔥🔥🔥🔥🔥🔥,🔥🔥🔥🔥🔥🔥🔥,0.0
🔥🔥🔥🔥🔥,🔥🔥🔥🔥🔥,0.0
Dia 15 ficou sem head liner,Day 15 was left without head liner,0.0
👏👏👏,👏👏👏,0.0
❤️,❤️,0.0
cartaz fechado?,Poster closed?,-0.1
🫶🏻,🫶🏻,0.0
Nhec...,Nhec ...,0.0
couraiso 🔥,Couraiso 🔥,0.0
@bryan_cocker el día 14 está bien duro,@bryan_cocker el Día 14 is hard bien,-0.2916666666666667
@jose_g_guedes,@jose_g_GUDES,0.0
