Tipo de Bilhete,Preço
PASS WITH CAMPING,139.0
PASS WITHOUT CAMPING,129.0
GOLDEN CIRCLE PASS,249.0
VIP PASS,300.0
PACK SUDAS,499.0
PACK SW + SSF,179.0
CAMPING UPGRADE,40.0
UPGRADE EXCLUSIVE CAMPING,99.0
UPGRADE CAR CAMPING (1 CAR + 5 PAX),100.0
UPGRADE PARK & TENT - 7th AUGUST UPGRADE PARK & TENT - 7th AUGUST,60.0
UPGRADE PARK & TENT - 8th AUGUST UPGRADE PARK & TENT - 8th AUGUST,60.0
UPGRADE PARK & TENT - 9th AUGUST UPGRADE PARK & TENT - 9th AUGUST,60.0
UPGRADE PARK & TENT - 10th AUGUST UPGRADE PARK & TENT - 10th AUGUST,60.0
07 AUGUST 16:00,69.0
08 AUGUST 16:00,69.0
09 AUGUST 16:00,69.0
10 AUGUST 16:00,69.0
Two Days Pass,138
