Tipo de Bilhete,Preço,Ticket Category
PASS WITH CAMPING,139.0,Other
PASS WITHOUT CAMPING,129.0,All Days Pass
GOLDEN CIRCLE PASS,249.0,Other
VIP PASS,300.0,Other
PACK SUDAS,499.0,Other
PACK SW + SSF,179.0,Other
CAMPING UPGRADE,40.0,Other
UPGRADE EXCLUSIVE CAMPING,99.0,Other
UPGRADE CAR CAMPING (1 CAR + 5 PAX),100.0,Other
UPGRADE PARK & TENT - 7th AUGUST UPGRADE PARK & TENT - 7th AUGUST,60.0,Other
UPGRADE PARK & TENT - 8th AUGUST UPGRADE PARK & TENT - 8th AUGUST,60.0,Other
UPGRADE PARK & TENT - 9th AUGUST UPGRADE PARK & TENT - 9th AUGUST,60.0,Other
UPGRADE PARK & TENT - 10th AUGUST UPGRADE PARK & TENT - 10th AUGUST,60.0,Other
07 AUGUST 16:00,69.0,Daily
08 AUGUST 16:00,69.0,Daily
09 AUGUST 16:00,69.0,Daily
10 AUGUST 16:00,69.0,Daily
Two Days Pass,138.0,Two Days Pass
